url,domain,confidence_score,matched_signals,checked_at
https://bynton.com,bynton.com,0.75,strong:place a bet|strong:ukgc|medium:casino|structural:responsible gambling,2026-08-08T19:17:53Z
https://booming-games.com,booming-games.com,1.0,strong:free spins|strong:play now|strong:mga/|medium:casino|medium:slots|structural:responsible gambling,2026-08-08T19:37:30Z
https://lootcasino.com,lootcasino.com,1.0,strong:deposit bonus|strong:free spins|strong:live dealer|strong:claim bonus|medium:casino|medium:slots|medium:poker|medium:jackpot|medium:wager|medium:betting|structural:18+|structural:gambleaware|structural:responsible gambling|negative:how to play,2026-08-09T05:48:08Z
https://doveslots.com,doveslots.com,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:jackpot|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:48:09Z
https://lightscamerabingo.com,lightscamerabingo.com,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:48:09Z
https://lottomart.com,lottomart.com,0.9,strong:free spins|strong:live dealer|medium:casino|medium:slots|medium:jackpot|medium:betting|structural:18+|structural:gambleaware|negative:app store|negative:google play,2026-08-09T05:48:12Z
https://lottomart.co.uk,lottomart.co.uk,0.9,strong:free spins|strong:live dealer|medium:casino|medium:slots|medium:jackpot|medium:betting|structural:18+|structural:gambleaware|negative:app store|negative:google play,2026-08-09T05:48:14Z
https://magicalvegas.com,magicalvegas.com,0.9,strong:free spins|strong:live dealer|medium:casino|medium:slots|medium:jackpot|medium:wager,2026-08-09T05:48:17Z
https://regalwins.com,regalwins.com,0.9,strong:free spins|strong:live dealer|medium:casino|medium:slots|medium:jackpot|medium:wager|structural:gambleaware|negative:how to play,2026-08-09T05:48:23Z
https://singbingo.com,singbingo.com,0.95,strong:free spins|strong:play now|medium:slots|medium:jackpot|medium:wager|structural:18+,2026-08-09T05:48:24Z
https://21betscasino.com,21betscasino.com,1.0,strong:free spins|strong:live dealer|medium:casino|medium:slots|medium:sportsbook|medium:jackpot|medium:wager|medium:betting,2026-08-09T05:48:34Z
https://glimmercasino.com,glimmercasino.com,1.0,strong:deposit bonus|strong:free spins|strong:play now|strong:mga/|medium:casino|medium:slots|medium:poker|medium:jackpot|medium:wager|structural:responsible gambling,2026-08-09T05:49:01Z
https://mobileslots.com,mobileslots.com,1.0,strong:free spins|strong:play now|strong:mga/|medium:casino|medium:slots|medium:jackpot|medium:wager|structural:responsible gambling,2026-08-09T05:49:11Z
https://mobilemillions.co.uk,mobilemillions.co.uk,1.0,strong:live dealer|strong:play now|strong:mga/|medium:casino|medium:slots|medium:jackpot|medium:wager|structural:responsible gambling,2026-08-09T05:49:12Z
https://slotskingdom.co.uk,slotskingdom.co.uk,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:49:21Z
https://ukslots.com,ukslots.com,1.0,strong:free spins|strong:mga/|medium:casino|medium:slots|medium:wager|structural:18+|structural:responsible gambling,2026-08-09T05:49:26Z
https://zweeler.com,zweeler.com,0.9,strong:deposit bonus|strong:register now|strong:mga/|structural:gambleaware,2026-08-09T05:49:35Z
https://32redsport.com,32redsport.com,1.0,strong:deposit bonus|strong:place a bet|strong:play now|medium:casino|medium:sportsbook|medium:betting|structural:responsible gambling,2026-08-09T05:49:37Z
https://24spin.com,24spin.com,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:49:38Z
https://belgraviacasino.com,belgraviacasino.com,0.95,strong:deposit bonus|strong:play now|medium:casino|medium:slots|medium:wager|structural:gambleaware,2026-08-09T05:49:51Z
https://casiplay.com,casiplay.com,1.0,strong:deposit bonus|strong:free spins|strong:play now|medium:casino|medium:slots|medium:jackpot|structural:18+,2026-08-09T05:49:54Z
https://caspbet.com,caspbet.com,1.0,strong:free spins|strong:live dealer|strong:mga/|medium:casino|medium:slots|medium:poker|medium:sportsbook|medium:jackpot|medium:wager|medium:betting|structural:18+,2026-08-09T05:49:55Z
https://cashmo.co.uk,cashmo.co.uk,1.0,strong:free spins|strong:play now|strong:ukgc|medium:casino|medium:wager|structural:18+,2026-08-09T05:49:56Z
https://freedailyspins.com,freedailyspins.com,1.0,strong:deposit bonus|strong:free spins|strong:play now|medium:casino|medium:slots|medium:poker|medium:wager|structural:gambleaware|structural:responsible gambling,2026-08-09T05:50:04Z
https://luckland.com,luckland.com,0.8,strong:deposit bonus|strong:free spins|medium:casino|medium:slots|medium:poker,2026-08-09T05:51:00Z
https://mayfaircasino.com,mayfaircasino.com,1.0,strong:live dealer|strong:play now|medium:casino|medium:slots|medium:poker|medium:betting|structural:18+|structural:gambleaware|structural:responsible gambling|negative:editorial policy,2026-08-09T05:51:02Z
https://majesticbingo.com,majesticbingo.com,1.0,strong:free spins|strong:play now|medium:slots|medium:jackpot|medium:wager|structural:18+|structural:gambleaware|structural:responsible gambling|negative:how to play,2026-08-09T05:51:04Z
https://planetrockcasino.co.uk,planetrockcasino.co.uk,1.0,strong:deposit bonus|strong:free spins|medium:casino|medium:slots|medium:poker|medium:wager|structural:gambleaware,2026-08-09T05:51:06Z
https://rouletteuk.co.uk,rouletteuk.co.uk,1.0,strong:free spins|strong:live dealer|strong:cashier|strong:bet slip|strong:ukgc|medium:casino|medium:slots|medium:wager|medium:betting|structural:18+|structural:gambleaware|negative:how to play,2026-08-09T05:51:11Z
https://vegasmoose.com,vegasmoose.com,1.0,strong:free spins|strong:claim bonus|medium:slots|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:51:56Z
https://bzeebet.com,bzeebet.com,1.0,strong:deposit bonus|strong:free spins|strong:live dealer|strong:bet slip|strong:ukgc|medium:casino|medium:slots|medium:sportsbook|medium:wager|medium:betting|structural:18+|structural:gambleaware|structural:responsible gambling,2026-08-09T05:52:13Z
https://jeffbet.com,jeffbet.com,1.0,strong:deposit bonus|strong:free spins|strong:claim bonus|strong:play now|strong:cashier|strong:mga/|medium:casino|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:52:19Z
https://sponsiobet.com,sponsiobet.com,1.0,strong:free spins|strong:live dealer|strong:play now|strong:ukgc|medium:casino|medium:slots|medium:poker|medium:sportsbook|medium:jackpot|medium:betting|structural:18+|structural:gambleaware|structural:responsible gambling|negative:how to play,2026-08-09T05:52:26Z
https://slotsheaven.com,slotsheaven.com,1.0,strong:deposit bonus|strong:free spins|strong:live dealer|strong:play now|medium:casino|medium:slots|medium:poker|medium:jackpot|medium:wager|medium:betting|structural:18+|structural:gambleaware|structural:responsible gambling,2026-08-09T05:52:26Z
https://umbingo.com,umbingo.com,1.0,strong:free spins|strong:claim bonus|strong:ukgc|medium:casino|medium:slots|medium:wager|structural:18+|structural:gambleaware|negative:how to play,2026-08-09T05:52:33Z
https://777tigers.com,777tigers.com,0.9,strong:live dealer|strong:play now|medium:casino|medium:slots|medium:jackpot|medium:betting,2026-08-09T05:52:35Z
https://amigoslots.com,amigoslots.com,0.95,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:wager|structural:18+|structural:gambleaware|negative:how to play,2026-08-09T05:52:40Z
https://bingo.games,bingo.games,1.0,strong:free spins|strong:claim bonus|medium:slots|medium:jackpot|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:52:41Z
